Date,Clicks,Impressions,CTR,Position
2026-04-19,0,0,,
2026-04-20,0,0,,
2026-04-21,0,2,0%,30
2026-04-22,0,6,0%,48.7
2026-04-23,0,3,0%,66.7
2026-04-24,0,10,0%,51
2026-04-25,0,9,0%,58.2
2026-04-26,0,13,0%,54.3
2026-04-27,0,21,0%,61.6
2026-04-28,0,21,0%,55.9
2026-04-29,0,101,0%,65.7
2026-04-30,0,23,0%,65.3
2026-05-01,0,13,0%,55.8
2026-05-02,0,12,0%,67.2
2026-05-03,0,17,0%,55.5
2026-05-04,0,35,0%,70
2026-05-05,0,22,0%,55.6
2026-05-06,0,3,0%,53.7
2026-05-07,0,2,0%,65
2026-05-08,0,9,0%,22.7
2026-05-09,0,1,0%,43
2026-05-10,0,1,0%,44
2026-05-11,0,1,0%,46
2026-05-12,0,2,0%,62.5
2026-05-13,0,3,0%,36
2026-05-14,0,1,0%,63
2026-05-15,0,6,0%,41.5
2026-05-16,0,0,,
2026-05-17,0,2,0%,64
2026-05-18,0,1,0%,56
2026-05-19,0,3,0%,45.3
2026-05-20,0,0,,
2026-05-21,0,0,,
2026-05-22,0,2,0%,32
2026-05-23,0,3,0%,48.7
2026-05-24,0,2,0%,41.5
2026-05-25,0,7,0%,50.3
2026-05-26,0,0,,
2026-05-27,0,2,0%,62.5
2026-05-28,0,2,0%,28.5
2026-05-29,0,1,0%,41
2026-05-30,0,1,0%,41
2026-05-31,0,3,0%,53.3
2026-06-01,0,11,0%,42.6
2026-06-02,0,0,,
2026-06-03,0,1,0%,35
2026-06-04,0,8,0%,27.6
2026-06-05,0,9,0%,46.8
2026-06-06,0,2,0%,36
2026-06-07,0,2,0%,55
2026-06-08,0,2,0%,5.5
2026-06-09,0,8,0%,40.2
2026-06-10,0,1,0%,35
2026-06-11,0,1,0%,1
2026-06-12,0,0,,
2026-06-13,0,1,0%,39
2026-06-14,0,1,0%,42
2026-06-15,0,1,0%,38
2026-06-16,0,8,0%,47.9
2026-06-17,1,103,0.97%,38.2
2026-06-18,1,30,3.33%,38.2
2026-06-19,0,23,0%,31.1
2026-06-20,0,80,0%,21.2
2026-06-21,0,75,0%,26.8
2026-06-22,1,79,1.27%,28.4
2026-06-23,0,74,0%,29.9
2026-06-24,0,80,0%,27.9
2026-06-25,0,110,0%,24.9
2026-06-26,0,116,0%,27.8
2026-06-27,0,129,0%,22
2026-06-28,0,193,0%,24.8
2026-06-29,1,171,0.58%,21.3
2026-06-30,1,311,0.32%,27.1
2026-07-01,0,150,0%,24.1
2026-07-02,0,144,0%,20.9
2026-07-03,1,432,0.23%,25.8
2026-07-04,1,177,0.56%,26.3
2026-07-05,1,202,0.5%,26.5
2026-07-06,1,334,0.3%,28.1
