Country,Clicks,Impressions,CTR,Position
Venezuela,8,96,8.33%,32.69
Colombia,1,511,0.2%,40.52
Spain,0,624,0%,26.36
Mexico,0,440,0%,26.28
Argentina,0,203,0%,36.69
United States,0,185,0%,32.02
Ecuador,0,184,0%,27.26
Brazil,0,134,0%,14.53
Germany,0,104,0%,25.75
Peru,0,99,0%,23.91
Chile,0,75,0%,37.63
Italy,0,74,0%,37.12
Uruguay,0,73,0%,45.84
Vietnam,0,58,0%,23.07
China,0,55,0%,27
Netherlands,0,38,0%,22.58
Russia,0,35,0%,26.86
India,0,28,0%,25.64
Panama,0,28,0%,32.54
Nicaragua,0,27,0%,33.7
United Kingdom,0,22,0%,34.73
Canada,0,21,0%,16.9
Bolivia,0,21,0%,25.62
France,0,20,0%,16.7
Costa Rica,0,18,0%,27.5
Philippines,0,16,0%,27.5
Paraguay,0,15,0%,20.8
El Salvador,0,13,0%,20.31
Dominican Republic,0,13,0%,21.08
Bangladesh,0,13,0%,27.15
South Africa,0,11,0%,25.27
Kenya,0,10,0%,22
Morocco,0,10,0%,31
Guatemala,0,8,0%,32.75
Portugal,0,8,0%,48.12
Nepal,0,7,0%,22.14
Indonesia,0,7,0%,29
United Arab Emirates,0,6,0%,20.17
Pakistan,0,6,0%,30.17
Honduras,0,6,0%,33.17
Australia,0,5,0%,20.6
Turkey,0,5,0%,24.2
Switzerland,0,5,0%,30.4
Cuba,0,4,0%,18.5
Poland,0,4,0%,19
Hong Kong,0,4,0%,23.75
Ukraine,0,4,0%,25.25
Egypt,0,4,0%,34
Andorra,0,4,0%,38.25
Puerto Rico,0,3,0%,16.33
Oman,0,3,0%,22
Kazakhstan,0,3,0%,27
Ethiopia,0,3,0%,33
Uzbekistan,0,3,0%,33.33
Saudi Arabia,0,3,0%,34.33
Sweden,0,2,0%,9.5
Ghana,0,2,0%,11
Qatar,0,2,0%,20.5
Mongolia,0,2,0%,23
Israel,0,2,0%,23.5
South Korea,0,2,0%,23.5
Austria,0,2,0%,25.5
Ireland,0,2,0%,27
Nigeria,0,2,0%,29
Palestine,0,2,0%,31
Côte d’Ivoire,0,2,0%,35.5
Luxembourg,0,2,0%,41
Belize,0,2,0%,48
Denmark,0,1,0%,9
Haiti,0,1,0%,10
Cayman Islands,0,1,0%,11
Japan,0,1,0%,12
Belarus,0,1,0%,20
Jordan,0,1,0%,20
New Zealand,0,1,0%,20
Gabon,0,1,0%,21
Guyana,0,1,0%,21
Iraq,0,1,0%,21
Jamaica,0,1,0%,21
Kuwait,0,1,0%,21
Suriname,0,1,0%,21
Thailand,0,1,0%,21
Azerbaijan,0,1,0%,22
Malaysia,0,1,0%,22
Togo,0,1,0%,22
Zimbabwe,0,1,0%,22
Finland,0,1,0%,23
Algeria,0,1,0%,33
Greece,0,1,0%,36
Hungary,0,1,0%,36
Angola,0,1,0%,39
Botswana,0,1,0%,39
Macedonia,0,1,0%,39
Lebanon,0,1,0%,40
Tunisia,0,1,0%,40
Bulgaria,0,1,0%,41
Cyprus,0,1,0%,48
Armenia,0,1,0%,68
