Top pages,Clicks,Impressions,CTR,Position
https://www.clima-hoy.com/clima/caracas,8,308,2.6%,17.19
https://www.clima-hoy.com/clima/medellin/manana,1,167,0.6%,39.22
https://www.clima-hoy.com/clima/murcia,0,409,0%,26.04
https://www.clima-hoy.com/clima/puebla,0,285,0%,28.74
https://www.clima-hoy.com/guias/estaciones-del-ano-en-argentina,0,207,0%,8.74
https://www.clima-hoy.com/clima/guayaquil,0,188,0%,26.26
https://www.clima-hoy.com/clima/bogota,0,151,0%,57.58
https://www.clima-hoy.com/clima/guadalajara,0,129,0%,28.26
https://www.clima-hoy.com/clima/montevideo,0,108,0%,47.79
https://www.clima-hoy.com/clima/santo-domingo,0,107,0%,30.85
https://www.clima-hoy.com/clima/sao-paulo/manana,0,103,0%,14.77
https://www.clima-hoy.com/clima/medellin,0,93,0%,42.28
https://www.clima-hoy.com/guias/como-se-mide-la-lluvia-y-probabilidades,0,86,0%,9.55
https://www.clima-hoy.com/clima/berlin,0,83,0%,28.63
https://www.clima-hoy.com/clima/la-paz,0,74,0%,18.2
https://www.clima-hoy.com/clima/quito,0,73,0%,30.37
https://www.clima-hoy.com/clima/bilbao,0,59,0%,62.31
https://www.clima-hoy.com/clima/amsterdam,0,56,0%,31.23
https://www.clima-hoy.com/clima/barranquilla,0,53,0%,38.25
https://www.clima-hoy.com/clima-pais/venezuela,0,52,0%,27.67
https://www.clima-hoy.com/clima/armenia,0,45,0%,35.8
https://www.clima-hoy.com/clima/bucaramanga,0,45,0%,38.78
https://www.clima-hoy.com/clima/cucuta,0,44,0%,40
https://www.clima-hoy.com/clima/cordoba,0,35,0%,69.37
https://www.clima-hoy.com/clima/monterrey,0,31,0%,26.55
https://www.clima-hoy.com/clima/managua,0,31,0%,33.26
https://www.clima-hoy.com/clima/santiago,0,31,0%,36.9
https://www.clima-hoy.com/clima/pasto,0,31,0%,39.19
https://www.clima-hoy.com/clima/monteria,0,27,0%,25.81
https://www.clima-hoy.com/clima/buenos-aires,0,26,0%,40.77
https://www.clima-hoy.com/clima/lima,0,23,0%,33.61
https://www.clima-hoy.com/clima/mendoza,0,23,0%,38.91
https://www.clima-hoy.com/guias/ciudades-mas-lluviosas-de-colombia,0,22,0%,9.05
https://www.clima-hoy.com/clima/asuncion,0,21,0%,19.38
https://www.clima-hoy.com/clima/panama-city,0,20,0%,39.75
https://www.clima-hoy.com/clima/havana,0,17,0%,48
https://www.clima-hoy.com/clima/manta,0,16,0%,20.69
https://www.clima-hoy.com/clima/ottawa,0,14,0%,15.93
https://www.clima-hoy.com/clima/cordoba/manana,0,14,0%,49.21
https://www.clima-hoy.com/clima/arequipa,0,12,0%,17.17
https://www.clima-hoy.com/guias/mejores-meses-para-viajar-a-la-playa-en-latinoamerica,0,10,0%,7.9
https://www.clima-hoy.com/clima-pais/uruguay,0,10,0%,25.9
https://www.clima-hoy.com/clima/brasilia,0,9,0%,19
https://www.clima-hoy.com/clima/barcelona,0,8,0%,31.5
https://www.clima-hoy.com/,0,7,0%,8
https://www.clima-hoy.com/clima/cusco,0,7,0%,25.71
https://www.clima-hoy.com/clima/alicante/manana,0,7,0%,46.71
https://www.clima-hoy.com/clima/rosario,0,7,0%,81.29
https://www.clima-hoy.com/lluvia,0,6,0%,34.67
https://www.clima-hoy.com/clima/cali,0,6,0%,38
https://www.clima-hoy.com/clima/antofagasta,0,6,0%,68
https://www.clima-hoy.com/guias/que-es-la-humedad-y-por-que-el-calor-humedo-agobia-mas,0,5,0%,8.6
https://www.clima-hoy.com/clima/mexico-city,0,5,0%,22.2
https://www.clima-hoy.com/clima-pais/estados-unidos,0,5,0%,46.4
https://www.clima-hoy.com/clima-pais/chile,0,5,0%,48.6
https://www.clima-hoy.com/clima-pais/cuba,0,5,0%,54.8
https://www.clima-hoy.com/guias/humedad-relativa-como-afecta-tu-salud,0,5,0%,57
https://www.clima-hoy.com/guias/como-vestirse-segun-la-sensacion-termica,0,4,0%,6.5
https://www.clima-hoy.com/clima/los-angeles/manana,0,4,0%,42.5
https://www.clima-hoy.com/clima-pais/argentina,0,4,0%,64.25
https://www.clima-hoy.com/clima/berlin/manana,0,3,0%,49
https://www.clima-hoy.com/clima/calgary,0,3,0%,50.67
https://www.clima-hoy.com/clima/miami,0,2,0%,7.5
https://www.clima-hoy.com/clima/alicante,0,2,0%,21
https://www.clima-hoy.com/clima-pais/ecuador,0,2,0%,40.5
https://www.clima-hoy.com/clima-pais/nicaragua,0,2,0%,50.5
https://www.clima-hoy.com/clima-pais/republica-dominicana,0,2,0%,73
https://www.clima-hoy.com/clima-pais/mexico,0,1,0%,9
https://www.clima-hoy.com/clima-pais/brasil,0,1,0%,11
https://www.clima-hoy.com/clima/new-york,0,1,0%,12
https://www.clima-hoy.com/clima/valledupar,0,1,0%,29
https://www.clima-hoy.com/clima/chicago/manana,0,1,0%,45
